KC_RACINECOMPETENCE|DC_LBLRACINECOMPETENCE|KC_NOEUDCOMPETENCE|DC_LBLNOEUDCOMPETENCE|KC_COMPETENCESROME|DC_LBLCOMPETENCESROME
00055|Transport|00202|Navigation maritime et fluviale|110355|Intervenir sur des systèmes de propulsion et de production d'énergie classiques
00055|Transport|00202|Navigation maritime et fluviale|110405|Effectuer une navigation fluviale sur un bateau bac
00055|Transport|00202|Navigation maritime et fluviale|110393|Procéder aux manoeuvres d'amarrage/largage d'amarres, de mise en fonctionnement et de conduite du bateau en lien avec l'équipage
00055|Transport|00202|Navigation maritime et fluviale|120455|Navire à Grande Vitesse (NGV)
00055|Transport|00202|Navigation maritime et fluviale|110373|Réaliser une navigation maritime de plaisance professionnelle
00055|Transport|00202|Navigation maritime et fluviale|110371|Réaliser le convoyage d'un navire de plaisance à voile
00055|Transport|00202|Navigation maritime et fluviale|115608|Participer aux opérations de navigation maritime et mettre à jour les cartes et documents nautiques
00055|Transport|00202|Navigation maritime et fluviale|110410|Effectuer une navigation fluviale sur un bateau pousseur
00055|Transport|00202|Navigation maritime et fluviale|120465|Navire gazier
00055|Transport|00202|Navigation maritime et fluviale|120470|Navire de croisière
00055|Transport|00202|Navigation maritime et fluviale|110390|Règles de barre
00055|Transport|00202|Navigation maritime et fluviale|110376|Naviguer sur un yacht de plaisance à moteur
00055|Transport|00202|Navigation maritime et fluviale|110367|Techniques de navigation
00055|Transport|00202|Navigation maritime et fluviale|120469|Navire remorqueur portuaire
00055|Transport|00202|Navigation maritime et fluviale|120463|Navire de plaisance professionnelle
00055|Transport|00202|Navigation maritime et fluviale|116686|Procédures d'utilisation de bateaux
00055|Transport|00202|Navigation maritime et fluviale|113910|Transmettre les autorisations de navigation, les informations sur les situations anormales aux autorités portuaires et aux autres navires
00055|Transport|00202|Navigation maritime et fluviale|110404|Effectuer une navigation fluviale sur un bateau automoteur (péniche)
00055|Transport|00202|Navigation maritime et fluviale|107080|Procédures de lignage
00055|Transport|00202|Navigation maritime et fluviale|110391|Règles de tenue de quart
00055|Transport|00202|Navigation maritime et fluviale|110419|Effectuer une navigation nécessitant une attestation spéciale passagers
00055|Transport|00202|Navigation maritime et fluviale|110422|Effectuer une navigation nécessitant l'habilitation Prévention et Secours Civiques de niveau 1 (PSC1)
00055|Transport|00202|Navigation maritime et fluviale|110420|Effectuer une navigation nécessitant un certificat de radiotéléphonie
00055|Transport|00202|Navigation maritime et fluviale|110448|Lecture de carte fluviale
00055|Transport|00202|Navigation maritime et fluviale|120468|Navire pétrolier
00055|Transport|00202|Navigation maritime et fluviale|119976|Techniques de manoeuvres et de mise à quai
00055|Transport|00202|Navigation maritime et fluviale|122120|Gestion des Hypothèques maritimes
00055|Transport|00202|Navigation maritime et fluviale|117438|Risques liés à la sécurité et au travail en mer
00055|Transport|00202|Navigation maritime et fluviale|110356|Intervenir sur des systèmes de propulsion et de production d'énergie nucléaires
00055|Transport|00202|Navigation maritime et fluviale|110423|Procédures de contrôle d'équipements fluviaux
00055|Transport|00202|Navigation maritime et fluviale|110400|Techniques de manoeuvre et de conduite de bateau fluvial
00055|Transport|00202|Navigation maritime et fluviale|120480|Navire chimiquier
00055|Transport|00202|Navigation maritime et fluviale|120456|Navire à utilisation collective (NUC)
00055|Transport|00202|Navigation maritime et fluviale|120460|Navire minéralier
00055|Transport|00202|Navigation maritime et fluviale|110389|Techniques de déhalage
00055|Transport|00349|Transport de personnes|110534|Transporter du personnel d'entreprise
00055|Transport|00349|Transport de personnes|110657|Informer les clients sur les horaires, le plan, l'état des pistes et les assister en cas de besoin lors de l'embarquement/débarquement
00055|Transport|00349|Transport de personnes|115653|Contrôler la montée/descente en sécurité de voyageurs (commande automatique des portes, ...)
00055|Transport|00349|Transport de personnes|110414|Effectuer un transport de tourisme fluvial (avec ou sans restauration et hébergement, ...)
00055|Transport|00349|Transport de personnes|119989|Déterminer un itinéraire en fonction des délais et des particularités du trafic
00055|Transport|00349|Transport de personnes|110639|Procédures de contrôle de titres de transport
00055|Transport|00349|Transport de personnes|110671|Transporter des passagers au moyen de Téléski
00055|Transport|00349|Transport de personnes|110668|Transporter des passagers au moyen d'un téléphérique
00055|Transport|00349|Transport de personnes|115658|Suivre et mettre à jour les éléments d'activité d'une exploitation de transport en commun (enregistrement des procès-verbaux, billetterie, ...)
00055|Transport|00349|Transport de personnes|110656|Manoeuvrer les systèmes des remontées mécaniques, surveiller le passage des cabines, perches et le flux des passagers
00055|Transport|00349|Transport de personnes|107396|Intervenir à bord d'un véhicule de catégorie D (véhicule sanitaire léger -VSL- destiné au transport en position assise)
00055|Transport|00349|Transport de personnes|110667|Transporter des passagers au moyen d'une télécabine fixe
00055|Transport|00349|Transport de personnes|107394|Intervenir à bord d'un véhicule de secours et d'assistance aux victimes (VSAV)
00055|Transport|00349|Transport de personnes|110670|Transporter des passagers au moyen d'un télésiège fixe
00055|Transport|00349|Transport de personnes|115586|Conduire au moyen de minibus ou voiture, des passagers sur une piste aéroportuaire
00055|Transport|00349|Transport de personnes|110589|Déterminer les modifications d'itinéraires en cas d'aléas, l'information des voyageurs et en contrôler la mise en oeuvre
00055|Transport|00349|Transport de personnes|110666|Transporter des passagers au moyen d'une télébenne
00055|Transport|00349|Transport de personnes|110507|Accueillir la clientèle à bord du véhicule et préciser la destination et les impératifs avec le client
00055|Transport|00349|Transport de personnes|110637|Réguler la vie à bord et autour du véhicule, et intervenir en cas d'incivilité ou de conflit
00055|Transport|00349|Transport de personnes|110664|Transporter des passagers au moyen d'un funiculaire
00055|Transport|00349|Transport de personnes|115626|Consigner les éléments d'activité d'une mission (horaires, trajet, incidents)
00055|Transport|00349|Transport de personnes|110226|Réaliser les opérations d'embarquement/débarquement (réservation de bus sur piste, accompagnement des passagers, remise des coupons de vol, ...)
00055|Transport|00349|Transport de personnes|110512|Environnement géographique et culturel (sites touristiques, ...)
00055|Transport|00349|Transport de personnes|115654|Informer des voyageurs sur les causes et les conditions d'arrêt en cas d'incident (durée, ...)
00055|Transport|00349|Transport de personnes|110663|Transporter des passagers au moyen d'un ascenseur incliné
00055|Transport|00349|Transport de personnes|110669|Transporter des passagers au moyen d'un télésiège débrayable
00055|Transport|00349|Transport de personnes|115663|Contrôler les titres de transport
00055|Transport|00349|Transport de personnes|120031|Renseigner les documents de bord d'un véhicule
00055|Transport|00349|Transport de personnes|110672|Transporter des passagers au moyen de tapis roulants
00055|Transport|00349|Transport de personnes|110412|Effectuer un transport fluvial de passagers lignes régulières (bacs, ...)
00055|Transport|00349|Transport de personnes|110535|Transporter des personnes à mobilité réduite
00055|Transport|00349|Transport de personnes|107393|Intervenir à bord d'une ambulance de secours et de soins d'urgence (ASSU)
00055|Transport|00349|Transport de personnes|110509|Conduire et déposer le client à son lieu de destination
00055|Transport|00349|Transport de personnes|110536|Transporter des scolaires
00055|Transport|00349|Transport de personnes|115651|Concevoir ou participer à la création ou à l'évolution de lignes/circuits touristiques de transport routier de personnes
00055|Transport|00349|Transport de personnes|110636|Informer les voyageurs et apporter assistance aux personnes à mobilité réduite
00055|Transport|00349|Transport de personnes|107395|Conduire une ambulance
00055|Transport|00349|Transport de personnes|110665|Transporter des passagers au moyen d'un télé corde
00055|Transport|00349|Transport de personnes|110211|Réaliser des opérations de transport aérien de passagers
00055|Transport|00349|Transport de personnes|110526|Conduire des passagers selon un parcours/circuit prédéfini
00055|Transport|00221|Organisation du fret|110099|Réaliser et contrôler les documents liés à la circulation internationale de la marchandise (facture douanière, Déclaration Administrative Unique -DAU-, lettre de crédit, ...)
00055|Transport|00221|Organisation du fret|110105|Intervenir sur des dossiers de déclaration en douane
00055|Transport|00221|Organisation du fret|117373|Méthodes de traitement des commandes de transport routier de marchandises
00055|Transport|00221|Organisation du fret|110098|Collecter les documents d'expédition de la marchandise et constituer le dossier de la prestation (transit, douane)
00055|Transport|00221|Organisation du fret|119101|Définir le coût d'opérations d'affrètement
00055|Transport|00221|Organisation du fret|110602|Constituer le dossier de transport routier et transmettre les documents aux clients ou aux conducteurs
00055|Transport|00221|Organisation du fret|110087|Organisation du marché des transports (tarifs, tendances, ...)
00055|Transport|00221|Organisation du fret|115645|Suivre des prestations de transport à caractère international
00055|Transport|00221|Organisation du fret|110079|Réaliser et contrôler les documents liés au contrat de transport et d'affrètement et les transmettre aux clients, prestataires, ...
00055|Transport|00221|Organisation du fret|119105|Affréter des marchandises groupées
00055|Transport|00221|Organisation du fret|110078|Définir les conditions et le coût du transport avec le client et en organiser les différentes étapes (enlèvement, livraison, ...)
00055|Transport|00221|Organisation du fret|110453|Modalités de fonctionnement d'une bourse de fret
00055|Transport|00221|Organisation du fret|110100|Suivre l'acheminement des marchandises, informer le client sur le déroulement et présenter des solutions en cas d'anomalies
00055|Transport|00221|Organisation du fret|110104|Intervenir sur des dossiers de consignation maritime
00055|Transport|00221|Organisation du fret|110107|Intervenir sur des dossiers de transit export marchandises
00055|Transport|00221|Organisation du fret|119028|Réaliser des recherches de fret et de transport
00055|Transport|00221|Organisation du fret|110506|Formalités douanières
00055|Transport|00221|Organisation du fret|118594|Organiser le transport des marchandises
00055|Transport|00221|Organisation du fret|119746|Contrôler des documents douaniers et vérifier les marchandises
00055|Transport|00221|Organisation du fret|113362|Préparer, suivre ou contrôler la facturation d'opérations de transit ou de douane (règlement fournisseurs, taxes douanières, Déclaration d'Echanges de Biens -DEB-, ...)
00055|Transport|00221|Organisation du fret|119029|Arrêter des modalités d'achat ou de vente de la prestation de transport
00055|Transport|00221|Organisation du fret|115595|Coordonner et vérifier l'exécution d'opérations de chargement de fret (produits frais, animaux, matières dangereuses)
00055|Transport|00221|Organisation du fret|113439|Mener des opérations de transport en relation avec une clientèle internationale
00055|Transport|00221|Organisation du fret|110446|Concevoir et suivre les documents liés au transport (droits de péage, pré-facturation, suivi des règlements, commandes fournisseurs, ...)
00055|Transport|00221|Organisation du fret|110108|Intervenir sur des dossiers de transit import marchandises
00055|Transport|00221|Organisation du fret|110097|Codifier la marchandise à partir du descriptif fourni par le client
00055|Transport|00221|Organisation du fret|110106|Intervenir sur des dossiers de réservation de fret
00055|Transport|00221|Organisation du fret|119745|Réaliser des documents douaniers
00055|Transport|00221|Organisation du fret|110574|Concevoir les modalités de prestation et les conditions de réalisation de transport avec la clientèle ou les prestataires
00055|Transport|00111|Exploitation transport routier|106627|Lecture de chronotachygraphe
00055|Transport|00111|Exploitation transport routier|115559|Effectuer le transit international d'un convoi de déménagement routier
00055|Transport|00111|Exploitation transport routier|110085|Caractéristiques des différents types de transport
00055|Transport|00111|Exploitation transport routier|106631|Superviser un parc de poids lourds, véhicules de transport de marchandises
00055|Transport|00111|Exploitation transport routier|115650|Intervenir en cas d'incident à bord d'un véhicule
00055|Transport|00111|Exploitation transport routier|114878|Suivre et analyser des coûts d'utilisation de véhicules (gestion, optimisation, consommation, externalisation, ...)
00055|Transport|00111|Exploitation transport routier|110612|Planifier le transport de particuliers (Taxi, ...)
00055|Transport|00111|Exploitation transport routier|106630|Superviser un parc de véhicules et d'engins de levage
00055|Transport|00111|Exploitation transport routier|115649|Surveiller, réguler le trafic à partir d'un poste central et mettre en place les mesures nécessaires (changements d'itinéraires, modifications d'horaires, ...)
00055|Transport|00111|Exploitation transport routier|110580|Coordonner des opérations d'entreposage
00055|Transport|00111|Exploitation transport routier|118955|Géographie des transports
00055|Transport|00111|Exploitation transport routier|110572|Superviser les plannings du service ou de l'exploitation à partir des carnets de commande
00055|Transport|00111|Exploitation transport routier|106634|Superviser un parc de véhicules et engins agricoles, forestiers
00055|Transport|00111|Exploitation transport routier|110608|Organiser et planifier les mouvements du matériel roulant selon la densité du trafic, les véhicules disponibles, ...
00055|Transport|00111|Exploitation transport routier|115561|Actualiser un carnet de bord d'engin (registre d'entretien, interventions, dysfonctionnements)
00055|Transport|00111|Exploitation transport routier|114137|Organiser et planifier l'activité d'un parc de véhicules (affectation, suivi maintenance, ...)
00055|Transport|00111|Exploitation transport routier|106637|Superviser un parc de véhicules légers
00055|Transport|00111|Exploitation transport routier|110581|Coordonner des opérations de transport de produits dangereux
00055|Transport|00111|Exploitation transport routier|119058|Logiciel professionnel d'exploitation de transport de personnes
00055|Transport|00111|Exploitation transport routier|106632|Superviser un parc de véhicules de nettoyage, de collecte
00055|Transport|00111|Exploitation transport routier|110616|Planifier un transport urbain/interurbain
00055|Transport|00111|Exploitation transport routier|110603|Organiser et planifier les plans de tournées des conducteurs
00055|Transport|00111|Exploitation transport routier|106629|Superviser un parc de cycles, motocycles
00055|Transport|00111|Exploitation transport routier|106633|Superviser un parc de véhicules de transport de personnes, de voyageurs
00055|Transport|00111|Exploitation transport routier|106635|Superviser un parc de véhicules et engins blindés
00055|Transport|00111|Exploitation transport routier|110582|Coordonner des opérations de transport de produits périssables
00055|Transport|00111|Exploitation transport routier|110594|Superviser l'activité d'un site d'exploitation de transport routier de personnes pour un réseau urbain/interurbain
00055|Transport|00111|Exploitation transport routier|106904|Délimiter les zones d'intervention et coordonner les manoeuvres (approvisionnement, approche d'engins, ...)
00055|Transport|00111|Exploitation transport routier|119102|Établir une documentation de transport
00055|Transport|00111|Exploitation transport routier|119060|Logiciel professionnel d'exploitation de transport routier
00055|Transport|00111|Exploitation transport routier|110595|Superviser l'activité d'un site d'exploitation de transport routier de personnes pour une zone aéroportuaire
00055|Transport|00111|Exploitation transport routier|110613|Planifier un transport sanitaire (ambulance, Véhicule Sanitaire Léger -VSL-)
00055|Transport|00111|Exploitation transport routier|110579|Coordonner des opérations de déménagement
00055|Transport|00111|Exploitation transport routier|110583|Coordonner des opérations de transport multimodal
00055|Transport|00111|Exploitation transport routier|106636|Superviser un parc de véhicules et engins de travaux publics
00055|Transport|00111|Exploitation transport routier|126045|Systèmes de gestion des transports (Transport Management System - TMS)
00055|Transport|00111|Exploitation transport routier|110474|Vérifier la présence et la conformité des documents de bord et de transport
00055|Transport|00111|Exploitation transport routier|110578|Coordonner des opérations de convoi exceptionnel
00055|Transport|00111|Exploitation transport routier|118961|Économie des transports
00055|Transport|00111|Exploitation transport routier|110614|Planifier un transport scolaire
00055|Transport|00111|Exploitation transport routier|110523|Préparer le véhicule, repérer le parcours et prévoir les aléas
00055|Transport|00111|Exploitation transport routier|110609|Concevoir le planning d'affectation des conducteurs sur le réseau ou la zone d'intervention
00055|Transport|00111|Exploitation transport routier|119023|Gérer un parc de véhicules
00055|Transport|00111|Exploitation transport routier|116816|Gestion d'un parc de véhicules
00055|Transport|00111|Exploitation transport routier|110615|Planifier un transport sur lignes internationales
00055|Transport|00111|Exploitation transport routier|117303|Suivre la gestion d'un parc de véhicules
00055|Transport|00111|Exploitation transport routier|110080|Contrôler et/ou préparer les éléments de facturation de la prestation de transport
00055|Transport|00111|Exploitation transport routier|110593|Superviser l'activité d'un site d'exploitation de transport routier de personnes pour un réseau national
00055|Transport|00111|Exploitation transport routier|116515|Exploitation de transport routier de personnes
00055|Transport|00111|Exploitation transport routier|115647|Réaliser des opérations administratives et budgétaires liées au transport (retours de tournée, bons de livraisons, suivi de règlements, ...)
00055|Transport|00111|Exploitation transport routier|110605|Assister techniquement les conducteurs (modifications d'itinéraires, de délais) en cas de panne, accident
00055|Transport|00111|Exploitation transport routier|118980|Exploitation de transports terrestres
00055|Transport|00111|Exploitation transport routier|118962|Gestion d'entrepôt et de plate-forme
00055|Transport|00111|Exploitation transport routier|110592|Superviser l'activité d'un site d'exploitation de transport routier de personnes pour un réseau international
00055|Transport|00111|Exploitation transport routier|117233|Analyser une demande de transport
00055|Transport|00111|Exploitation transport routier|119093|Organiser une exploitation de transport combiné
00055|Transport|00111|Exploitation transport routier|106623|Suivre et contrôler la conformité réglementaire d'utilisation de véhicules (contrôle technique, assurance, permis, temps de repos, ...)
00055|Transport|00110|Exploitation maritime et fluviale|110431|Géographie des infrastructures portuaires
00055|Transport|00110|Exploitation maritime et fluviale|110426|Organiser et planifier l'affectation des équipements portuaires ou maritimes (portiques, navires, ...)
00055|Transport|00110|Exploitation maritime et fluviale|110459|Organisation et fonctionnement de la zone portuaire (plan de circulation, zones de stockage, ...)
00055|Transport|00110|Exploitation maritime et fluviale|115603|Superviser ou diriger des manoeuvres en phase délicate (approche pilotage, appareillage/accostage, remorquage, assistance en mer, avaries, ...) en mer ou dans un domaine portuaire
00055|Transport|00110|Exploitation maritime et fluviale|110437|Organiser des opérations d'embarquement/débarquement de passagers
00055|Transport|00110|Exploitation maritime et fluviale|110434|Organiser des opérations d'assistance en escale des navires
00055|Transport|00110|Exploitation maritime et fluviale|110438|Organiser des opérations de gestion/suivi des conteneurs
00055|Transport|00110|Exploitation maritime et fluviale|110398|Règles de sécurité fluviale
00055|Transport|00110|Exploitation maritime et fluviale|110427|Planifier ou coordonner l'activité d'équipes portuaires ou du personnel maritime sédentaire
00055|Transport|00110|Exploitation maritime et fluviale|115607|Pratiquer des opérations de lamanage lors de manoeuvres de navires dans un port (appareillage, accostage)
00055|Transport|00110|Exploitation maritime et fluviale|110441|Organiser des opérations d'entretien des installations du port de plaisance
00055|Transport|00110|Exploitation maritime et fluviale|110436|Organiser des opérations d'avitaillement de navires (carburant, vivres, matériel, ...)
00055|Transport|00110|Exploitation maritime et fluviale|110428|Contrôler le déroulement des opérations maritimes à quai (assistance en escale, avitaillement navire, gestion des conteneurs, embarquement passagers)
00055|Transport|00110|Exploitation maritime et fluviale|124564|Matériel de navigation
00055|Transport|00110|Exploitation maritime et fluviale|110435|Organiser des opérations d'accueil des plaisanciers en escale et de placement des bateaux
00055|Transport|00110|Exploitation maritime et fluviale|124563|Accastillage
00055|Transport|00110|Exploitation maritime et fluviale|110392|Constituer le convoi de navigation fluviale (nombre et type de barges, branchements électriques, hydrauliques et ventilation)
00055|Transport|00110|Exploitation maritime et fluviale|110569|Procéder à l'avitaillement en carburant d'un navire
00055|Transport|00110|Exploitation maritime et fluviale|110451|Organiser des opérations de transport fluvial de passagers
00055|Transport|00110|Exploitation maritime et fluviale|119091|Superviser l'activité d'une unité d'exploitation portuaire ou de transport maritime
00055|Transport|00110|Exploitation maritime et fluviale|119422|Logiciel d'exploitation portuaire
00055|Transport|00110|Exploitation maritime et fluviale|124549|Entretenir l'équipement nautique
00055|Transport|00110|Exploitation maritime et fluviale|124550|Entretenir un bateau
00055|Transport|00110|Exploitation maritime et fluviale|124551|Caractéristiques des apparaux
00055|Transport|00110|Exploitation maritime et fluviale|115606|Superviser et coordonner les opérations de surveillance d'un site portuaire (protection incendie, plan d'urgence, ...) et élaborer des plans d'urgence d'intervention
00055|Transport|00110|Exploitation maritime et fluviale|110445|Contrôler le déroulement du chargement/déchargement, la traçabilité des voyages et déterminer les mesures correctives
00055|Transport|00110|Exploitation maritime et fluviale|110447|Utilisation de table de jaugeage
00055|Transport|00110|Exploitation maritime et fluviale|119103|Établir un connaissement/bill of lading
00055|Transport|00110|Exploitation maritime et fluviale|115615|Suivre une prestation de transport fluvial à caractère international
00055|Transport|00110|Exploitation maritime et fluviale|110458|Règles de sécurité portuaire
00055|Transport|00110|Exploitation maritime et fluviale|110440|Organiser des opérations de plan de chargement/déchargement de marchandises
00055|Transport|00110|Exploitation maritime et fluviale|110456|Installer et vérifier les équipements d'accès aux bateaux (rampes, échelle de coupée et passerelle)
00055|Transport|00110|Exploitation maritime et fluviale|110450|Organiser des opérations de transport fluvial de marchandises
00055|Transport|00110|Exploitation maritime et fluviale|110319|Règles de sécurité à bord des navires (personnes et marchandises)
00055|Transport|00110|Exploitation maritime et fluviale|119026|Organiser l'affectation d'une flotte fluviale selon des impératifs d'exploitation
00055|Transport|00110|Exploitation maritime et fluviale|110361|Manoeuvrer des équipements embarqués (grue de navire, ...), des équipements de transbordement des passagers ou de sauvetage
00055|Transport|00110|Exploitation maritime et fluviale|110570|Procéder à l'avitaillement en carburant d'une péniche
00055|Transport|00110|Exploitation maritime et fluviale|110432|Caractéristiques du trafic maritime (lignes, cabotage, ...)
00055|Transport|00110|Exploitation maritime et fluviale|110454|Sélectionner et positionner le matériel et les élingues, treuils, ... selon la nature de la cargaison
00055|Transport|00110|Exploitation maritime et fluviale|110363|Réaliser des opérations de chargement/déchargement de navires et effectuer le rangement et la sécurisation de la cargaison
00055|Transport|00110|Exploitation maritime et fluviale|110455|Procéder à l'ouverture ou la fermeture des panneaux de cale
00055|Transport|00110|Exploitation maritime et fluviale|119094|Organiser des opérations portuaires et de transports maritimes de marchandise
00055|Transport|00110|Exploitation maritime et fluviale|116697|Procédures d'entretien des voies navigables
00055|Transport|00110|Exploitation maritime et fluviale|114316|Sortir et mettre à l'eau des bateaux de faible tonnage (<10T)
00055|Transport|00110|Exploitation maritime et fluviale|116698|Procédures d'entretien des équipements portuaires
00055|Transport|00110|Exploitation maritime et fluviale|116685|Procédures d'entretien de bateaux
00055|Transport|00110|Exploitation maritime et fluviale|110433|Caractéristiques des équipements portuaires (portiques, grues, ...)
00055|Transport|00348|Transport de marchandises|110415|Effectuer un transport fluvial de colis lourds (voitures, containers, ...)
00055|Transport|00348|Transport de marchandises|120377|Réaliser les opérations d'attelage
00055|Transport|00348|Transport de marchandises|110504|Transporter des matériaux de construction, BTP
00055|Transport|00348|Transport de marchandises|110020|Techniques d'arrimage
00055|Transport|00348|Transport de marchandises|110411|Effectuer un transport fluvial de matières dangereuses (gaz, hydrocarbures, produits chimiques, ...)
00055|Transport|00348|Transport de marchandises|120384|Contrôler l'amarrage du chargement
00055|Transport|00348|Transport de marchandises|110298|Règles de chargement des matières dangereuses
00055|Transport|00348|Transport de marchandises|119847|Actualiser les données de suivi de la livraison ou de l'enlèvement sur un support numérique ou manuscrit
00055|Transport|00348|Transport de marchandises|120393|Réaliser des déplacements de produits dangereux nécessitant une habilitation
00055|Transport|00348|Transport de marchandises|110413|Effectuer un transport fluvial de produits pondéreux (charbon, gravier, minerai, céréales, ...)
00055|Transport|00348|Transport de marchandises|115632|Accomplir des formalités administratives auprès d'administrations et autorités (préfecture, ambassade, ministère)
00055|Transport|00348|Transport de marchandises|115621|Réaliser des formalités douanières auprès de services frontaliers
00055|Transport|00348|Transport de marchandises|120413|Transporter des produits en vrac
00055|Transport|00348|Transport de marchandises|113824|Réceptionner, vérifier ou enregistrer les paquets, colis, lettres en recommandé, bordereaux d'acheminement postal
